target,id
915.0,1
727.0,2
721.0,3
615.0,4
799.0,5
654.0,6
834.0,7
825.0,8
517.0,9
562.0,10
935.0,11
741.0,12
679.0,13
507.0,14
852.0,15
1249.0,16
1035.0,17
1262.0,18
904.0,19
1727.0,20
684.0,21
537.0,22
760.0,23
809.0,24
697.0,25
676.0,26
822.0,27
691.0,28
599.0,29
901.0,30
818.0,31
623.0,32
624.0,33
526.0,34
1002.0,35
179.0,36
564.0,37
456.0,38
665.0,39
632.0,40
502.0,41
838.0,42
574.0,43
611.0,44
476.0,45
546.0,46
411.0,47
475.0,48
321.0,49
388.0,50
586.0,51
648.0,52
550.0,53
783.0,54
258.0,55
299.0,56
384.0,57
692.0,58
634.0,59
592.0,60
383.0,61
317.0,62
247.0,63
730.0,64
587.0,65
407.0,66
831.0,67
531.0,68
560.0,69
397.0,70
768.0,71
393.0,72
810.0,73
624.0,74
227.0,75
525.0,76
542.0,77
558.0,78
504.0,79
1031.0,80
187.0,81
677.0,82
783.0,83
693.0,84
511.0,85
435.0,86
362.0,87
592.0,88
360.0,89
476.0,90
369.0,91
619.0,92
472.0,93
426.0,94
592.0,95
426.0,96
799.0,97
497.0,98
622.0,99
549.0,100
539.0,101
522.0,102
551.0,103
466.0,104
423.0,105
797.0,106
532.0,107
422.0,108
421.0,109
527.0,110
512.0,111
756.0,112
456.0,113
456.0,114
449.0,115
406.0,116
519.0,117
464.0,118
523.0,119
588.0,120
564.0,121
927.0,122
953.0,123
516.0,124
669.0,125
572.0,126
727.0,127
544.0,128
917.0,129
586.0,130
516.0,131
404.0,132
709.0,133
429.0,134
629.0,135
1139.0,136
466.0,137
372.0,138
558.0,139
476.0,140
418.0,141
564.0,142
431.0,143
485.0,144
733.0,145
402.0,146
760.0,147
659.0,148
599.0,149
495.0,150
436.0,151
416.0,152
701.0,153
553.0,154
652.0,155
621.0,156
617.0,157
784.0,158
352.0,159
677.0,160
520.0,161
474.0,162
643.0,163
400.0,164
627.0,165
701.0,166
566.0,167
453.0,168
428.0,169
434.0,170
592.0,171
413.0,172
849.0,173
727.0,174
700.0,175
499.0,176
853.0,177
532.0,178
561.0,179
378.0,180
419.0,181
694.0,182
437.0,183
657.0,184
396.0,185
569.0,186
493.0,187
344.0,188
620.0,189
277.0,190
464.0,191
542.0,192
824.0,193
602.0,194
670.0,195
569.0,196
443.0,197
399.0,198
489.0,199
491.0,200
1443.0,201
602.0,202
748.0,203
602.0,204
502.0,205
527.0,206
470.0,207
566.0,208
491.0,209
663.0,210
526.0,211
556.0,212
394.0,213
737.0,214
573.0,215
713.0,216
777.0,217
437.0,218
609.0,219
481.0,220
471.0,221
296.0,222
499.0,223
559.0,224
701.0,225
332.0,226
388.0,227
879.0,228
323.0,229
625.0,230
614.0,231
525.0,232
432.0,233
734.0,234
364.0,235
387.0,236
709.0,237
561.0,238
418.0,239
413.0,240
506.0,241
628.0,242
578.0,243
486.0,244
875.0,245
817.0,246
647.0,247
820.0,248
557.0,249
520.0,250
521.0,251
498.0,252
436.0,253
291.0,254
293.0,255
600.0,256
254.0,257
644.0,258
636.0,259
684.0,260
535.0,261
584.0,262
473.0,263
647.0,264
880.0,265
376.0,266
864.0,267
589.0,268
510.0,269
770.0,270
543.0,271
791.0,272
537.0,273
516.0,274
466.0,275
194.0,276
759.0,277
823.0,278
426.0,279
403.0,280
516.0,281
560.0,282
746.0,283
368.0,284
792.0,285
719.0,286
995.0,287
725.0,288
366.0,289
1102.0,290
800.0,291
854.0,292
1517.0,293
649.0,294
710.0,295
1193.0,296
581.0,297
721.0,298
946.0,299
794.0,300
494.0,301
796.0,302
738.0,303
444.0,304
669.0,305
836.0,306
986.0,307
926.0,308
986.0,309
752.0,310
216.0,311
328.0,312
502.0,313
684.0,314
826.0,315
